dol vehicle id,clean_alternative_fuel_vehicle_type,make,model,new_or_used_vehicle,sale_price,dol_transaction_date,transaction_type,transaction_year,electric_vehicle_fee_paid,electric_range,vehicle_primary_use,meets_2019_hb_2042_electric_range_requirement
144712375,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,A7,New,80215,March 12 2021,Original Title,2021,Not Applicable,24,Passenger,FALSE
144712375,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,A7,New,0,March 12 2021,Original Registration,2021,No,24,Passenger,FALSE
144712375,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,A7,Used,0,February 01 2022,Registration Renewal,2022,No,24,Passenger,FALSE
117864876,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,Q5 e,New,52900,August 12 2020,Original Title,2020,Not Applicable,20,Passenger,FALSE
117864876,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,Q5 e,New,0,August 12 2020,Original Registration,2020,No,20,Passenger,FALSE
183284090,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,Q5,New,59595,December 07 2021,Original Title,2021,Not Applicable,23,Passenger,FALSE
125930143,Battery Electric Vehicle (BEV),AUDI,e-tron,Used,0,August 26 2021,Registration Renewal,2021,Yes,204,Passenger,TRUE
148662461,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,Q5 e,Used,65500,April 19 2022,Transfer Title,2022,Not Applicable,18,Passenger,FALSE
148662461,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,Q5 e,Used,0,April 19 2022,Registration at time of Transfer,2022,No,18,Passenger,FALSE
154512781,Battery Electric Vehicle (BEV),AUDI,e-tron,New,65900,May 25 2021,Original Title,2021,Not Applicable,0,Passenger,FALSE
154512781,Battery Electric Vehicle (BEV),AUDI,e-tron,New,0,May 25 2021,Original Registration,2021,No,0,Passenger,FALSE
143825468,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,A3,Used,25996,February 20 2019,Transfer Title,2019,Not Applicable,16,Passenger,FALSE
143825468,Plug-in Hybrid Electric Vehicle (PHEV),AUDI,A3,Used,0,February 20 2019,Registration at time of Transfer,2019,No,16,Passenger,FALSE
